ordertypeid,name,validated_cpt_code
279404,hearing screening referral,92537
280140,pediatric urologist referral,99213
280371,radioiodine I-131 ablation therapy referral,77022
280624,electrodiagnostic specialist referral,99213
280636,public health services provider referral,99000
280752,cardiac exercise physiologist referral,99213
285517,visiting nurse referral,99203
286517,spine center referral,99213
286538,overnight pulse oximetry referral,94760
286777,videostroboscopy referral,99213
288038,hair transplant referral,97140
288337,orthopedic oncology referral,99213
288742,medical massage,97140
289469,pharmacy clinic,99213
289497,early childhood intervention referral,99406
289498,child study center referral,99215
289620,nerve conduction referral,95810
289663,pediatric infectious disease referral,99203
289664,pediatric nephrologist referral,99203
289665,pediatric orthopedic referral,97602
289666,pediatric plastic surgery referral,99213
289667,auditory brainstem response referral,92597
289677,substance abuse rehabilitation referral,90792
289818,development evaluation referral,97110
289868,day medicine referral,99213
290258,home visiting referral,99213
290537,vitalstim therapy referral,97112
291900,transplant referral,99204
292881,neurocognitive referral,92507
292882,pre-op anesthesia evaluation,99215
293060,CKD IV-iron referral,99203
293061,CKD esa referral,99203
293064,help me grow referral,97110
293068,EGD referral,45330
293197,naturopath referral,99203
293198,plan of care referral,99215
293253,telephone counseling for smoking cessation,97802
293639,vein specialist referral,97602
293765,procedure clinic,99213
293787,dialysis education referral,99213
293788,authorization request,99203
293990,patient navigator referral,99203
294262,clinical therapist referral,97154
294263,obesity/metabolism referral,99213
294336,davita empower program referral,99213
294880,renal transplant evaluation referral,99213
294980,surgery center referral,99213
295460,dialysis referral,99213
295603,endocrinology referral,99213
295645,primary care provider referral,99213
295885,oral & maxillofacial referral,99203
295926,impairment rating referral,97602
295965,diabetic ophthalmology referral,99213
296647,healing touch referral,97610
296965,prepare for surgery counseling,99213
297261,ketogenic diet initiation,99213
297395,referral to smoking quit line,99214
298187,congestive heart failure clinic,99215
298886,women's health referral,99213
298906,chronic disease management referral,99213
299165,skilled nursing referral,99213
299306,hospitalist referral,99221
299825,arizona early intervention program referral,99203
299866,guided nurse referral,99213
300085,immunization referral,97140
300086,referral for smoking cessation counseling,97140
300926,pediatric neurologist referral,99215
301026,addiction medicine referral,99213
302466,urologic oncology referral,99203
302805,neuro-ophthalmologist referral,99213
302825,hypolipidemia referral,99213
302826,hyperlipidemia referral,99213
303765,stroke clinic referral,97602
304085,musculoskeletal treatment referral,99213
304669,pulmonary hypertension referral,99213
305325,augmentative and alternative communication (aac) referral,92507
305385,movement therapy referral,97610
305386,epileptologist referral,99204
305694,senior daycare referral,99213
306145,energy medicine referral,99203
306326,diabetes educator referral,99453
306685,neurological rehabilitation and balance referral,97112
307105,diabetes self management training,97140
307145,palliative medicine referral,97140
308907,immunologist referral,99213
309190,heart transplant referral,99213
309887,ambulatory services referral,99213
309949,multiple sclerosis specialist,97112
311087,lipid clinic referral,99213
311285,patient health education referral,99486
311623,hippotherapy,97602
311665,music therapist referral,97112
311666,habilitation specialist referral,99213
311667,respite care facility referral,99221
312114,"ophthalmology, retina specialist referral",99203
312625,movement disorder specialist,99213
312786,gastroenterology surgery referral,99203
312787,genetic oncology referral,99203
312827,child life department,97112
313125,shared medical visit,99231
313206,vascular access team,97605
313745,neurointerventionalist referral,95717
314312,synagis referral,99203
315325,functional medicine evaluation,99203
315606,epilepsy monitoring unit,99213
316135,youth health services,99213
316406,applied behavior analysis therapy,97156
316546,heart valve clinic,99213
317205,reproductive endocrinologist referral,99213
317386,concussion clinic referral,99213
318066,endocrine surgery referral,99213
318128,oncology patient navigator,99213
318129,orthodontist referral,99213
320285,breast cancer referral,99213
323986,hospice care facility referral,99213
325487,vascular diagnostic test,93930
332645,physical therapist hand referral,97110
334785,hospital referral,99221
335370,chiropractic and massage referral,97140
335648,care management referral,99213
336765,permanent partial disability rating,97110
336767,weight loss study,99213
336985,hypertension study referral,99203
337127,asthma education referral,99213
337128,vocational training/counseling,97150
338709,resource advocate referral,99050
338786,breast center referral,59400
339225,blood pressure referral,99203
339226,bmi referral,97602
339385,pediatric allergist referral,97140
339877,referral to the american cancer society,99203
339878,genetic testing referral,99203
340348,multi-disciplinary evaluation,99213
340349,functional restoration program,97606
340352,therapy evaluation,97112
340918,cancer support services,99203
341210,pediatric physical therapist referral,97110
341211,pediatric occupational therapist referral,97113
341363,pediatric speech therapy,97110
341884,rhinology referral,99203
341886,head and neck referral,99213
341887,laryngology referral,99213
342382,support group referral,99213
342521,ambulatory surgical center referral,99215
343433,TMJ referral,99203
343502,anticoagulation therapy referral,99213
343565,neo adjuvant chemotherapy,99213
343607,medication assistance program,99213
343846,"women, infant and children's program referral",99213
343905,gait training referral,97116
343908,outpatient detox,99213
343927,medication education referral,99213
344017,CKD stage 3 education,99213
344018,CKD stage 4 education,99214
346266,laser treatment,69220
346326,community care referral,99213
346421,stress management referral,97124
347054,inpatient detoxification program referral,99215
347390,lung cancer referral,99213
347559,substance abuse referral,90837
347563,osteopathic referral,99213
347571,lead poisoning referral,90853
347572,tuberculosis contact referral,99214
347573,rabies investigation referral,99203
347718,bereavement counselor referral,97156
347728,home telemonitoring services,99091
348141,autism clinic referral,99203
348610,spina bifida clinic referral,99203
348611,down syndrome clinic referral,99215
348612,nicu follow up clinic referral,99213
348613,cleft lip/palate clinic referral,99203
348701,muscular dystrophy clinic referral,97602
