ordertypeid,name,cpt_code,work_rvu,non_fac_pe_rvu,fac_pe_rvu,mp_rvu
269088,adolescent medicine referral,99213,1.3,1.35,0.57,0.1
269090,interventional cardiology referral,99213,1.3,1.35,0.57,0.1
269091,transplant hepatologist referral,99213,1.3,1.35,0.57,0.1
269092,medical geneticist referral,99213,1.3,1.35,0.57,0.1
269093,clinical biochemical geneticist referral,99203,1.6,1.61,0.69,0.16
269094,molecular genetic pathologist referral,99213,1.3,1.35,0.57,0.1
269095,clinical geneticist referral,99203,1.6,1.61,0.69,0.16
269096,clinical molecular geneticist referral,99203,1.6,1.61,0.69,0.16
269097,neurological surgeon referral,99213,1.3,1.35,0.57,0.1
269099,child abuse pediatrician referral,99213,1.3,1.35,0.57,0.1
269101,neuromuscular medicine referral,97610,0.4,11.87,0.12,0.01
269102,vascular neurologist referral,95700,0.0,0.0,0.0,0.0
269103,orthopedic sports medicine referral,99213,1.3,1.35,0.57,0.1
269104,pediatric otolaryngologist referral,99215,2.8,2.42,1.28,0.21
269105,blood banking transfusion medicine referral,99203,1.6,1.61,0.69,0.16
269107,cytopathologist referral,99213,1.3,1.35,0.57,0.1
269125,child & adolescent psychiatrist referral,90792,4.16,1.49,0.74,0.16
269127,pediatric surgeon referral,99203,1.6,1.61,0.69,0.16
269131,mental health counselor referral,90792,4.16,1.49,0.74,0.16
269241,infusion therapy center referral,99213,1.3,1.35,0.57,0.1
269250,medical weight loss program referral,97110,0.45,0.43,0.43,0.01
269319,counseling referral,90792,4.16,1.49,0.74,0.16
269527,pediatric ophthalmologist referral,99215,2.8,2.42,1.28,0.21
270206,yoga referral,97110,0.45,0.43,0.43,0.01
270208,biofeedback therapy referral,97605,0.55,0.74,0.17,0.01
270646,independent medical evaluation,99215,2.8,2.42,1.28,0.21
270654,skilled nursing facility referral,99213,1.3,1.35,0.57,0.1
271129,dentist referral,99203,1.6,1.61,0.69,0.16
271496,manual therapy referral,97140,0.43,0.4,0.4,0.01
272586,occupational medicine referral,99213,1.3,1.35,0.57,0.1
272610,Mohs-micrographic surgeon referral,97602,0.0,0.0,0.0,0.0
272643,orthopedic spine surgeon referral,99213,1.3,1.35,0.57,0.1
272654,lymphedema consult,97602,0.0,0.0,0.0,0.0
272659,social worker referral,90791,3.84,1.22,0.48,0.1
272842,assisted living facility referral,99213,1.3,1.35,0.57,0.1
272843,personal home care referral,99203,1.6,1.61,0.69,0.16
272955,pediatric rheumatologist referral,99203,1.6,1.61,0.69,0.16
273130,acupuncturist referral,97124,0.35,0.56,0.56,0.01
273504,OMT referral,97110,0.45,0.43,0.43,0.01
273506,continuous glucose monitoring system referral,73610,0.17,0.9,0.9,0.02
273506,continuous glucose monitoring system referral,73610,0.0,0.83,0.83,0.01
273506,continuous glucose monitoring system referral,73610,0.17,0.07,0.07,0.01
273571,educator referral for pump training,97602,0.0,0.0,0.0,0.0
273740,pelvic floor therapy referral,97140,0.43,0.4,0.4,0.01
273821,wound care information,99203,1.6,1.61,0.69,0.16
